cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,staff_pick,spotlight,Category,Sub-Category
1418,2103,Crawford-Peters,User-centric regional database,94200.0,94200.0,successful,1600,CA,CAD,2020-10-20 05:00:00,2021-08-24 05:00:00,False,False,theater,plays
1905,2329,Romero-Hoffman,Open-source zero administration complexity,199200.0,199200.0,failed,2253,CA,CAD,2021-06-15 05:00:00,2021-10-26 05:00:00,False,False,theater,plays
1969,3325,Sparks-West,Organized incremental standardization,2000.0,2000.0,successful,249,US,USD,2021-08-19 05:00:00,2021-11-21 06:00:00,False,False,technology,web
2430,3131,"Baker, Morgan and Brown",Assimilated didactic open system,4700.0,4700.0,failed,5,US,USD,2021-06-25 05:00:00,2021-07-16 05:00:00,False,False,theater,plays
1291,4995,Mosley-Gilbert,Vision-oriented logistical intranet,2800.0,2800.0,failed,38,US,USD,2021-05-21 05:00:00,2021-09-23 05:00:00,False,True,technology,web
1934,3631,Berry-Boyer,Mandatory incremental projection,6100.0,6100.0,successful,236,US,USD,2021-02-23 06:00:00,2021-11-20 06:00:00,False,False,theater,plays
1225,5373,Sanders-Allen,Grass-roots needs-based encryption,2900.0,2900.0,failed,12,US,USD,2021-10-05 05:00:00,2021-11-06 05:00:00,False,True,theater,plays
1363,3126,Lopez Inc,Team-oriented 6thgeneration middleware,72600.0,72600.0,successful,4065,GB,GBP,2020-11-03 06:00:00,2021-09-24 05:00:00,False,True,technology,wearables
963,2194,Moreno-Turner,Inverse multi-tasking installation,5700.0,5700.0,successful,246,IT,EUR,2020-08-10 05:00:00,2021-02-07 06:00:00,False,True,theater,plays
1486,2906,Jones-Watson,Switchable disintermediate moderator,7900.0,7900.0,canceled,17,US,USD,2021-06-27 05:00:00,2022-01-17 06:00:00,False,False,theater,plays
676,2611,Barker Inc,Re-engineered 24/7 task-force,128000.0,128000.0,successful,2475,IT,EUR,2021-08-08 05:00:00,2022-01-30 06:00:00,False,True,theater,plays
2137,2374,"Tate, Bass and House",Organic object-oriented budgetary management,6000.0,6000.0,successful,76,US,USD,2021-03-19 05:00:00,2021-06-05 05:00:00,False,False,theater,plays
2656,3254,"Hampton, Lewis and Ray",Seamless coherent parallelism,600.0,600.0,successful,54,US,USD,2021-07-27 05:00:00,2021-11-30 06:00:00,False,False,film & video,animation
1556,3571,Collins-Goodman,Cross-platform even-keeled initiative,1400.0,1400.0,successful,88,US,USD,2020-05-11 05:00:00,2021-03-09 06:00:00,False,False,music,jazz
747,2812,Davis-Michael,Progressive tertiary framework,3900.0,3900.0,successful,85,GB,GBP,2021-06-29 05:00:00,2021-08-27 05:00:00,False,False,music,metal
60,3961,"White, Torres and Bishop",Multi-layered dynamic protocol,9700.0,9700.0,successful,170,US,USD,2021-02-25 06:00:00,2021-03-31 05:00:00,False,False,photography,photography books
2459,3872,"Martin, Conway and Larsen",Horizontal next generation function,122900.0,122900.0,failed,1684,US,USD,2020-12-13 06:00:00,2021-12-26 06:00:00,True,True,theater,plays
1903,4736,Acevedo-Huffman,Pre-emptive impactful model,9500.0,9500.0,failed,56,US,USD,2021-06-17 05:00:00,2021-08-27 05:00:00,False,True,film & video,animation
2003,5119,"Montgomery, Larson and Spencer",User-centric bifurcated knowledge user,4500.0,4500.0,successful,330,US,USD,2020-12-24 06:00:00,2021-04-16 05:00:00,False,False,publishing,translations
2885,5725,Soto LLC,Triple-buffered reciprocal project,57800.0,57800.0,failed,838,US,USD,2021-06-13 05:00:00,2021-11-18 06:00:00,False,False,theater,plays
2067,4037,"Sutton, Barrett and Tucker",Cross-platform needs-based approach,1100.0,1100.0,successful,127,US,USD,2021-06-26 05:00:00,2021-10-21 05:00:00,False,False,games,video games
1610,2109,"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,16800.0,successful,411,US,USD,2020-11-01 05:00:00,2021-03-04 06:00:00,False,False,music,rock
2909,3283,Porter-George,Reactive content-based framework,1000.0,1000.0,successful,180,GB,GBP,2020-10-09 05:00:00,2021-11-11 06:00:00,False,True,games,video games
1239,6181,Fitzgerald PLC,Realigned user-facing concept,106400.0,106400.0,failed,1000,US,USD,2021-06-25 05:00:00,2021-08-08 05:00:00,False,False,music,electric music
2480,3251,Cisneros-Burton,Public-key zero tolerance orchestration,31400.0,31400.0,successful,374,US,USD,2021-07-03 05:00:00,2021-10-05 05:00:00,False,False,technology,wearables
2181,3443,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,4900.0,successful,71,AU,AUD,2021-05-29 05:00:00,2021-08-20 05:00:00,False,False,music,indie rock
2030,2988,Davis-Smith,Organic motivating firmware,7400.0,7400.0,successful,203,US,USD,2021-05-16 05:00:00,2021-09-12 05:00:00,True,False,theater,plays
2311,1673,Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,198500.0,failed,1482,AU,AUD,2020-08-23 05:00:00,2021-03-24 05:00:00,False,True,music,rock
2821,2085,Clark Group,Grass-roots fault-tolerant policy,4800.0,4800.0,successful,113,US,USD,2020-07-21 05:00:00,2021-02-22 06:00:00,False,False,publishing,translations
2468,1672,"White, Singleton and Zimmerman",Monitored scalable knowledgebase,3400.0,3400.0,successful,96,US,USD,2020-07-23 05:00:00,2021-01-18 06:00:00,False,False,theater,plays
656,4426,Kramer Group,Synergistic explicit parallelism,7800.0,7800.0,failed,106,US,USD,2021-10-09 05:00:00,2021-11-15 06:00:00,False,True,theater,plays
2791,3211,"Frazier, Patrick and Smith",Enhanced systemic analyzer,154300.0,154300.0,failed,679,IT,EUR,2020-07-03 05:00:00,2021-06-17 05:00:00,False,False,publishing,translations
1527,3190,"Santos, Bell and Lloyd",Object-based analyzing knowledge user,20000.0,20000.0,successful,498,CH,CHF,2020-08-05 05:00:00,2021-05-15 05:00:00,False,True,games,video games
1891,2081,Hall and Sons,Pre-emptive radical architecture,108800.0,108800.0,canceled,610,US,USD,2020-11-22 06:00:00,2021-12-05 06:00:00,False,True,theater,plays
580,3185,Hanson Inc,Grass-roots web-enabled contingency,2900.0,2900.0,successful,180,GB,GBP,2021-03-14 06:00:00,2021-08-29 05:00:00,False,False,technology,web
682,5044,Sanchez LLC,Stand-alone system-worthy standardization,900.0,900.0,successful,27,US,USD,2021-08-06 05:00:00,2021-09-05 05:00:00,False,False,film & video,documentary
3097,1883,Howard Ltd,Down-sized systematic policy,69700.0,69700.0,successful,2331,US,USD,2021-10-18 05:00:00,2021-12-26 06:00:00,False,False,theater,plays
873,2067,Stewart LLC,Cloned bi-directional architecture,1300.0,1300.0,successful,113,US,USD,2020-11-29 06:00:00,2021-06-11 05:00:00,False,False,food,food trucks
1668,4604,"Arias, Allen and Miller",Seamless transitional portal,97800.0,97800.0,failed,1220,AU,AUD,2021-02-14 06:00:00,2021-11-03 05:00:00,False,False,games,video games
3076,3203,Baker-Morris,Fully-configurable motivating approach,7600.0,7600.0,successful,164,US,USD,2020-08-23 05:00:00,2021-02-06 06:00:00,False,False,theater,plays
3146,5758,"Tucker, Fox and Green",Upgradable fault-tolerant approach,100.0,100.0,failed,1,US,USD,2021-06-22 05:00:00,2021-10-23 05:00:00,False,False,theater,plays
253,5755,Douglas LLC,Reduced heuristic moratorium,900.0,900.0,successful,164,US,USD,2021-10-06 05:00:00,2022-01-27 06:00:00,False,True,music,electric music
3088,5150,Garcia Inc,Front-line web-enabled model,3700.0,3700.0,successful,336,US,USD,2020-09-18 05:00:00,2021-08-18 05:00:00,False,True,technology,wearables
393,4181,"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,10000.0,failed,37,IT,EUR,2021-05-10 05:00:00,2021-08-03 05:00:00,False,False,music,electric music
2912,3006,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,119200.0,successful,1917,US,USD,2021-07-09 05:00:00,2021-10-15 05:00:00,False,False,music,indie rock
478,4865,Charles-Johnson,Total fresh-thinking system engine,6800.0,6800.0,successful,95,US,USD,2020-10-08 05:00:00,2021-07-23 05:00:00,False,False,technology,web
1061,2862,"Brandt, Carter and Wood",Ameliorated clear-thinking circuit,3900.0,3900.0,successful,147,US,USD,2021-03-05 06:00:00,2021-05-19 05:00:00,False,False,theater,plays
2957,6070,"Tucker, Schmidt and Reid",Multi-layered encompassing installation,3500.0,3500.0,successful,86,US,USD,2021-05-07 05:00:00,2021-12-28 06:00:00,False,True,theater,plays
2015,5300,Decker Inc,Universal encompassing implementation,1500.0,1500.0,successful,83,US,USD,2020-10-14 05:00:00,2021-07-23 05:00:00,False,False,film & video,documentary
1179,3486,Romero and Sons,Object-based client-server application,5200.0,5200.0,failed,60,US,USD,2020-10-01 05:00:00,2021-06-12 05:00:00,False,False,film & video,television
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,142400.0,failed,296,US,USD,2020-05-05 05:00:00,2021-05-30 05:00:00,False,False,food,food trucks
2869,2849,Hart-Briggs,Re-engineered user-facing approach,61400.0,61400.0,successful,676,US,USD,2021-03-17 05:00:00,2021-10-27 05:00:00,False,False,publishing,radio & podcasts
718,1612,Jones-Meyer,Re-engineered client-driven hub,4700.0,4700.0,successful,361,AU,AUD,2020-10-24 05:00:00,2021-04-12 05:00:00,False,False,technology,web
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,3300.0,successful,131,US,USD,2021-01-29 06:00:00,2021-02-13 06:00:00,False,False,food,food trucks
2431,5288,Harper-Davis,Robust heuristic encoding,1900.0,1900.0,successful,126,US,USD,2021-07-02 05:00:00,2021-12-31 06:00:00,False,True,technology,wearables
468,6026,Barrett PLC,Team-oriented clear-thinking capacity,166700.0,166700.0,failed,3304,IT,EUR,2021-03-20 05:00:00,2021-04-16 05:00:00,False,False,publishing,fiction
1862,2212,David-Clark,De-engineered motivating standardization,7200.0,7200.0,failed,73,US,USD,2021-09-02 05:00:00,2021-12-31 06:00:00,False,False,theater,plays
2300,4591,Chaney-Dennis,Business-focused 24hour groupware,4900.0,4900.0,successful,275,US,USD,2021-06-18 05:00:00,2021-12-31 06:00:00,False,False,film & video,television
449,2771,"Robinson, Lopez and Christensen",Organic next generation protocol,5400.0,5400.0,successful,67,US,USD,2020-10-07 05:00:00,2021-10-17 05:00:00,False,False,photography,photography books
283,5682,Clark and Sons,Reverse-engineered full-range Internet solution,5000.0,5000.0,successful,154,US,USD,2021-07-27 05:00:00,2021-11-01 05:00:00,False,True,film & video,documentary
2484,5368,Vega Group,Synchronized regional synergy,75100.0,75100.0,successful,1782,US,USD,2021-04-15 05:00:00,2021-10-08 05:00:00,False,True,games,mobile games
1490,3706,Brown-Brown,Multi-lateral homogeneous success,45300.0,45300.0,successful,903,US,USD,2020-06-21 05:00:00,2021-04-14 05:00:00,False,False,games,video games
186,4034,Taylor PLC,Seamless zero-defect solution,136800.0,136800.0,failed,3387,US,USD,2020-05-21 05:00:00,2021-01-28 06:00:00,False,False,publishing,fiction
2999,3209,Edwards-Lewis,Enhanced scalable concept,177700.0,177700.0,failed,662,CA,CAD,2022-01-15 06:00:00,2022-02-03 06:00:00,True,False,theater,plays
2819,2384,"Stanton, Neal and Rodriguez",Polarized uniform software,2600.0,2600.0,successful,94,IT,EUR,2020-07-19 05:00:00,2021-02-28 06:00:00,False,False,photography,photography books
2105,3074,Pratt LLC,Stand-alone web-enabled moderator,5300.0,5300.0,successful,180,US,USD,2020-05-10 05:00:00,2021-05-02 05:00:00,False,False,theater,plays
1324,2031,Gross PLC,Proactive methodical benchmark,180200.0,180200.0,failed,774,US,USD,2020-03-24 05:00:00,2021-03-11 06:00:00,False,True,theater,plays
1952,5873,"Martinez, Gomez and Dalton",Team-oriented 6thgeneration matrix,103200.0,103200.0,failed,672,CA,CAD,2021-03-03 06:00:00,2021-06-16 05:00:00,False,False,theater,plays
2404,5501,Allen-Curtis,Phased human-resource core,70600.0,70600.0,canceled,532,US,USD,2020-09-13 05:00:00,2021-09-17 05:00:00,False,False,music,rock
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500.0,148500.0,canceled,55,AU,AUD,2021-03-23 05:00:00,2021-12-06 06:00:00,False,False,food,food trucks
1459,4210,"Luna, Anderson and Fox",Secured directional encryption,9600.0,9600.0,successful,533,DK,DKK,2020-10-10 05:00:00,2021-07-13 05:00:00,False,False,film & video,drama
1106,6151,"Fleming, Zhang and Henderson",Distributed 5thgeneration implementation,164700.0,164700.0,successful,2443,GB,GBP,2021-07-17 05:00:00,2022-01-18 06:00:00,False,False,technology,web
1488,6047,Flowers and Sons,Virtual static core,3300.0,3300.0,successful,89,US,USD,2020-10-20 05:00:00,2021-11-02 05:00:00,False,True,theater,plays
2107,5445,Gates PLC,Secured content-based product,4500.0,4500.0,successful,159,US,USD,2020-07-09 05:00:00,2021-05-18 05:00:00,False,False,music,world music
2660,5493,Caldwell LLC,Secured executive concept,99500.0,99500.0,failed,940,CH,CHF,2021-07-23 05:00:00,2021-07-28 05:00:00,False,True,film & video,documentary
2647,6036,"Le, Burton and Evans",Balanced zero-defect software,7700.0,7700.0,failed,117,US,USD,2020-12-25 06:00:00,2021-12-02 06:00:00,False,True,theater,plays
565,2368,Briggs PLC,Distributed context-sensitive flexibility,82800.0,82800.0,canceled,58,US,USD,2021-03-23 05:00:00,2021-04-14 05:00:00,False,True,film & video,drama
2713,1501,Hudson-Nguyen,Down-sized disintermediate support,1800.0,1800.0,successful,50,US,USD,2020-04-07 05:00:00,2021-02-14 06:00:00,False,False,publishing,nonfiction
558,4351,Hogan Ltd,Stand-alone mission-critical moratorium,9600.0,9600.0,failed,115,US,USD,2021-05-10 05:00:00,2021-12-17 06:00:00,False,False,games,mobile games
698,3096,"Hamilton, Wright and Chavez",Down-sized empowering protocol,92100.0,92100.0,failed,326,US,USD,2021-01-14 06:00:00,2021-07-07 05:00:00,False,True,technology,wearables
321,6162,Bautista-Cross,Fully-configurable coherent Internet solution,5500.0,5500.0,successful,186,US,USD,2020-10-18 05:00:00,2021-05-05 05:00:00,False,False,film & video,documentary
1302,1433,Jackson LLC,Distributed motivating algorithm,64300.0,64300.0,successful,1071,US,USD,2020-05-07 05:00:00,2021-03-21 05:00:00,False,False,technology,web
1410,2720,Figueroa Ltd,Expanded solution-oriented benchmark,5000.0,5000.0,successful,117,US,USD,2021-05-26 05:00:00,2021-11-24 06:00:00,False,False,technology,web
2465,5251,Avila-Jones,Implemented discrete secured line,5400.0,5400.0,successful,70,US,USD,2020-12-03 06:00:00,2021-11-25 06:00:00,False,False,music,indie rock
377,1797,"Martin, Lopez and Hunter",Multi-lateral actuating installation,9000.0,9000.0,successful,135,US,USD,2021-02-07 06:00:00,2021-04-20 05:00:00,False,False,theater,plays
1882,1656,Fields-Moore,Secured reciprocal array,25000.0,25000.0,successful,768,CH,CHF,2021-01-28 06:00:00,2021-11-21 06:00:00,False,False,technology,wearables
822,1346,Harris-Golden,Optional bandwidth-monitored middleware,8800.0,8800.0,canceled,51,US,USD,2020-09-15 05:00:00,2021-02-01 06:00:00,False,False,theater,plays
2730,2989,"Moss, Norman and Dunlap",Upgradable upward-trending workforce,8300.0,8300.0,successful,199,US,USD,2021-08-21 05:00:00,2021-11-15 06:00:00,False,True,theater,plays
2198,5629,"White, Larson and Wright",Upgradable hybrid capability,9300.0,9300.0,successful,107,US,USD,2020-04-19 05:00:00,2021-02-15 06:00:00,False,False,technology,wearables
2757,3456,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,6200.0,successful,195,US,USD,2020-09-08 05:00:00,2021-04-16 05:00:00,False,False,music,indie rock
2588,3229,"Brown, Palmer and Pace",Networked stable workforce,100.0,100.0,failed,1,US,USD,2021-01-21 06:00:00,2021-07-11 05:00:00,False,False,music,rock
1090,2277,Parker LLC,Customizable intermediate extranet,137200.0,137200.0,failed,1467,US,USD,2021-12-02 06:00:00,2022-01-12 06:00:00,False,False,music,electric music
64,1276,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,41500.0,successful,3376,US,USD,2020-11-13 06:00:00,2021-07-23 05:00:00,False,False,music,indie rock
2171,3694,"Whitehead, Bell and Hughes",Multi-tiered radical definition,189400.0,189400.0,failed,5681,US,USD,2021-07-17 05:00:00,2021-11-12 06:00:00,False,False,theater,plays
625,2260,Rodriguez-Brown,Devolved foreground benchmark,171300.0,171300.0,failed,1059,US,USD,2021-01-29 06:00:00,2021-06-20 05:00:00,False,True,music,indie rock
1065,5374,Hall-Schaefer,Distributed eco-centric methodology,139500.0,139500.0,failed,1194,US,USD,2021-05-23 05:00:00,2021-07-29 05:00:00,False,False,theater,plays
174,4420,Meza-Rogers,Streamlined encompassing encryption,36400.0,36400.0,canceled,379,AU,AUD,2020-11-24 06:00:00,2021-12-26 06:00:00,False,False,music,rock
1344,3849,Curtis-Curtis,User-friendly reciprocal initiative,4200.0,4200.0,failed,30,AU,AUD,2021-04-20 05:00:00,2021-10-14 05:00:00,False,False,photography,photography books
2824,1638,Carlson Inc,Ergonomic fresh-thinking installation,2100.0,2100.0,successful,41,US,USD,2020-12-28 06:00:00,2021-11-24 06:00:00,False,False,music,rock
940,5230,"Clarke, Anderson and Lee",Robust explicit hardware,191200.0,191200.0,successful,1821,US,USD,2021-05-22 05:00:00,2021-06-30 05:00:00,False,True,theater,plays
